"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy","Year","Health_Outcomes_Rank","Health_Factors_Rank","Length_of_Life_Rank","Clinical_Care_Rank","Socioeconomic_Rank","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
12061,"Florida","Indian River",61173,16731,6857,81.2,2021,13,22,"14",8,34,7112,11334,7330,19,8
12063,"Florida","Jackson",40543,3979,37490,74.4,2021,56,48,"63",51,45,11028,10843,11245,25,9
12065,"Florida","Jefferson",47192,1163,14761,77.6,2021,51,44,"45",47,52,9502,12228,7802,22,11
12069,"Florida","Lake",57660,34287,57194,78.8,2021,30,18,"30",5,20,8179,10511,8777,20,9
12071,"Florida","Lee",62364,90101,36013,82.5,2021,15,17,"16",13,23,7347,9416,8275,20,8
12073,"Florida","Leon",55081,25093,33911,79.4,2021,16,19,"8",9,13,6574,9071,5716,17,10
12075,"Florida","Levy",41405,4819,37557,75.5,2021,57,57,"60",52,57,10748,9345,11332,24,9
12079,"Florida","Madison",37919,1723,15381,75.6,2021,65,60,"53",50,62,10194,11792,9844,28,13
12081,"Florida","Manatee",64151,42242,18693,81.7,2021,9,25,"19",22,25,7503,10770,7896,18,7
12083,"Florida","Marion",49079,38242,102796,76.3,2021,54,38,"59",29,47,10705,10934,11540,23,9
12085,"Florida","Martin",70806,15224,12403,82.3,2021,5,7,"11",7,11,6792,8426,7262,16,7
12086,"Florida","Miami-Dade",54991,405504,10095,82.4,2021,4,26,"1",60,24,5186,10216,5942,24,8
12089,"Florida","Nassau",72818,6535,35298,77.6,2021,26,8,"38",4,6,8842,13880,8973,17,8
12091,"Florida","Okaloosa",63520,19451,21878,78,2021,17,10,"23",18,5,7804,9805,7990,18,8
12095,"Florida","Orange",63133,155502,23402,80.6,2021,8,14,"6",30,14,6147,8670,6163,20,9
12097,"Florida","Osceola",52270,41511,21014,79.7,2021,14,29,"7",45,21,6521,7484,8300,24,8
12099,"Florida","Palm Beach",66621,178492,13763,82.6,2021,11,9,"10",6,22,6644,8054,7385,19,8
12101,"Florida","Pasco",55745,54656,43990,77.8,2021,32,30,"35",25,27,8729,8684,9806,20,8
12103,"Florida","Pinellas",56708,100100,2603,79.2,2021,18,13,"29",11,15,8103,11496,8244,18,8
12105,"Florida","Polk",51817,75351,81346,78.6,2021,29,37,"25",35,37,7968,10657,8431,22,9
12107,"Florida","Putnam",41986,8967,41765,73.9,2021,66,65,"66",53,64,12954,18103,12741,26,11
12109,"Florida","St. Johns",90839,18722,45179,81.9,2021,1,1,"2",2,1,5314,9302,5336,14,7
12111,"Florida","St. Lucie",57292,37350,9326,80.5,2021,24,35,"18",41,35,7496,8964,8390,21,8
12113,"Florida","Santa Rosa",66139,15179,31772,77.7,2021,19,12,"17",26,4,7374,6512,7945,18,8
12115,"Florida","Sarasota",66258,38439,16394,82,2021,7,4,"15",3,8,7273,11202,7528,16,7
12117,"Florida","Seminole",69954,43958,13348,80.7,2021,3,2,"4",19,2,6078,9416,6408,17,8
12119,"Florida","Sumter",63464,5039,32664,80.4,2021,28,32,"37",12,48,8823,11463,9297,17,9
12121,"Florida","Suwannee",49453,5025,34557,75.9,2021,50,50,"47",58,41,9714,9557,10346,24,10
12123,"Florida","Taylor",42987,1805,15637,75.7,2021,60,51,"55",48,54,10414,10745,11204,28,10
12125,"Florida","Union",50893,922,10478,68.3,2021,67,49,"67",37,42,17356,15153,18985,28,10
12127,"Florida","Volusia",53554,56326,49179,76.8,2021,40,28,"46",23,31,9522,10361,10487,19,9
12133,"Florida","Washington",42518,2481,21050,72.5,2021,62,58,"64",63,43,11460,10084,12238,27,8
13001,"Georgia","Appling",43821,2372,13028,75.1,2021,105,119,"92",148,101,9868,13316,9734,26,10
13005,"Georgia","Bacon",41807,1448,7688,73.9,2021,111,134,"108",159,96,10293,15257,9888,25,11
13009,"Georgia","Baldwin",44429,4664,16066,74.9,2021,108,86,"109",50,97,10323,12071,9502,24,12
13013,"Georgia","Barrow",68924,10709,20853,76.4,2021,44,42,"61",110,20,8845,10148,9349,20,8
13015,"Georgia","Bartow",60254,13579,35283,76.7,2021,39,43,"45",91,38,8396,9858,8754,20,8
13017,"Georgia","Ben Hill",35931,1848,5996,73,2021,146,152,"135",133,140,11217,12017,11811,26,14
13021,"Georgia","Bibb",43066,17543,22415,74.2,2021,131,65,"132",10,93,11148,13119,9316,23,14
13023,"Georgia","Bleckley",48115,1204,6739,77.6,2021,43,71,"34",56,84,7928,12683,6908,21,8
13027,"Georgia","Brooks",39554,2172,11539,74.2,2021,107,100,"106",143,87,10283,13425,9519,25,11
13029,"Georgia","Bryan",79296,3646,15825,76.3,2021,13,14,"32",11,9,7691,9310,7759,16,8
13031,"Georgia","Bulloch",48788,9038,33903,77.5,2021,49,45,"27",70,33,7478,9667,6842,22,10
13033,"Georgia","Burke",42632,2258,17486,74,2021,145,146,"150",98,148,11843,13516,10975,26,12
13035,"Georgia","Butts",47410,2552,18437,74.3,2021,106,82,"112",78,74,10485,10231,10933,25,10
13039,"Georgia","Camden",58552,5483,15883,78.2,2021,22,34,"37",35,28,8072,10726,7576,18,8
13043,"Georgia","Candler",41665,1589,7365,74.5,2021,132,149,"103",158,111,10154,16458,8335,28,12
13045,"Georgia","Carroll",59193,13126,46228,75.3,2021,56,44,"73",48,45,9327,10891,9489,21,8
13051,"Georgia","Chatham",57122,33735,11944,78.2,2021,42,22,"36",9,27,8047,10061,7076,19,10
13055,"Georgia","Chattooga",41561,2894,14974,73.5,2021,118,133,"133",139,120,11185,15183,11447,25,8
13057,"Georgia","Cherokee",88635,26367,36659,80.3,2021,3,6,"4",18,4,5318,6695,5452,14,7
13059,"Georgia","Clarke",41036,17043,6839,79,2021,41,20,"15",23,44,6904,11061,5901,21,10
13063,"Georgia","Clayton",50737,41718,2303,76.6,2021,74,69,"62",99,81,8852,9047,14493,25,12
13067,"Georgia","Cobb",79622,79642,1694,80.7,2021,6,4,"5",8,7,5436,6706,5445,14,9
13069,"Georgia","Coffee",41675,5692,28202,74.5,2021,110,139,"110",156,110,10452,11711,11214,25,11
13071,"Georgia","Colquitt",41899,7751,26821,74.4,2021,117,132,"119",155,105,10686,14870,10463,27,10
13073,"Georgia","Columbia",88285,11683,20131,80.5,2021,7,5,"7",3,5,5789,5780,6267,15,8
13075,"Georgia","Cook",40670,2322,10226,74.5,2021,101,92,"107",102,90,10290,12403,9892,24,11
13077,"Georgia","Coweta",79232,14745,41929,78.9,2021,9,17,"10",21,11,6320,8473,6217,17,9
13081,"Georgia","Crisp",40482,2587,11023,75.2,2021,149,115,"136",84,126,11243,13409,10529,28,13
13087,"Georgia","Decatur",40473,3471,15724,74.3,2021,109,114,"101",138,106,10108,12620,8587,25,12
13089,"Georgia","DeKalb",63606,96912,1820,80.4,2021,15,25,"16",17,29,7008,8988,4469,18,10
13091,"Georgia","Dodge",41118,2036,15743,76.3,2021,89,101,"94",69,121,9874,11050,9562,24,10
13095,"Georgia","Dougherty",36894,10605,13201,74.4,2021,148,111,"144",47,137,11493,11913,11296,27,14
13097,"Georgia","Douglas",62915,16614,20863,77.8,2021,21,29,"25",72,30,7376,6934,8947,19,10
13099,"Georgia","Early",40011,962,7260,73,2021,154,124,"152",88,124,12042,12901,11139,27,15
13103,"Georgia","Effingham",71628,6440,35035,76.5,2021,30,23,"39",43,14,8170,9930,8102,17,9
13105,"Georgia","Elbert",40962,2355,14241,75.1,2021,95,125,"102",137,107,10146,10136,10627,24,10
13107,"Georgia","Emanuel",38529,2439,15114,72.4,2021,138,155,"146",150,144,11524,12288,11382,27,10
13113,"Georgia","Fayette",94563,8389,19372,81.1,2021,4,2,"6",1,3,5455,7413,5004,13,9
13115,"Georgia","Floyd",50520,11435,35466,75.2,2021,71,51,"88",58,67,9737,13250,9911,22,9
13117,"Georgia","Forsyth",113332,18639,17414,82.3,2021,2,3,"1",6,2,3930,4698,4569,12,7
13119,"Georgia","Franklin",47691,2999,19639,73.9,2021,103,75,"131",112,63,11145,15162,11415,23,9
13121,"Georgia","Fulton",79235,105755,9921,79.6,2021,11,12,"12",4,32,6602,10427,3970,15,11
13127,"Georgia","Glynn",58017,10273,16376,77.4,2021,60,40,"64",54,48,8879,11307,8582,18,12
13131,"Georgia","Grady",42603,3510,15597,76.3,2021,83,87,"82",117,70,9551,12434,8821,24,9
13133,"Georgia","Greene",60973,2039,13235,78.3,2021,64,68,"51",27,88,8472,11206,7370,22,12
13135,"Georgia","Gwinnett",72225,127388,3910,81.2,2021,5,8,"3",49,10,5114,5850,5782,17,9
13139,"Georgia","Hall",66698,30338,36937,79.5,2021,12,30,"11",80,42,6554,8991,7596,21,7
13145,"Georgia","Harris",74052,2783,30962,79.4,2021,10,7,"19",16,6,7046,9971,6549,14,9
13147,"Georgia","Hart",50647,3041,18775,78.4,2021,48,56,"23",76,51,7321,7933,7574,23,9
13151,"Georgia","Henry",72927,23150,28250,77.6,2021,20,15,"24",15,16,7348,8066,7460,17,10
13153,"Georgia","Houston",65641,13858,13937,77.3,2021,24,16,"31",39,17,7682,9230,7399,19,9
13155,"Georgia","Irwin",42317,874,6172,73.4,2021,153,104,"157",97,119,12872,15941,11586,26,13
13157,"Georgia","Jackson",66645,7908,36300,77.3,2021,16,24,"22",28,19,7262,7446,7559,17,8
13163,"Georgia","Jefferson",35379,1902,13657,72.8,2021,139,154,"142",152,150,11449,13295,9906,27,11
